张弘	辽宁医学院附属第一医院（现锦州医科大学附属第一医院）	整形外科
裴俊	上海交大附属胸科医院	肺内科
楼煜清	上海交大附属胸科医院	肺内科
钟润波	上海交大附属胸科医院	肺内科
韩宝惠	上海交大附属胸科医院	肺内科
Wang Xiaoru	山东大学附属省立医院	--
曹晓沧	天津医科大学总医院	消化科
王飞	同济大学附属同济医院	神经外科
朱有厚	同济大学附属同济医院	神经外科
孙继勇	南京医科大学附属无锡第二医院	神经外科
韩东华	复旦大学附属浦东医院	神经内科
肖伟忠	复旦大学附属浦东医院	神经内科
吕顺增	山东大学齐鲁医院兼山东大学脑科学研究所	神经内科
韩明志	山东大学齐鲁医院兼山东大学脑科学研究所	神经外科
章捷	南京医科大学	第一临床医学院
吴劲松	复旦大学附属华山医院	神经外科
姚成军	复旦大学附属华山医院	神经外科
庄冬晓	复旦大学附属华山医院	神经外科
